region,title,location,tonic,pitches,num_notes,pitchclasses,num_pitchclasses,tonic_transposed,pitches_transposed,pitchclasses_transposed,top5_after_transpose
shanxi,Wuge fangyang,"Asia, China, Shanxi Zhongyang",B-,"['B-4', 'B-4', 'B-4', 'E-5', 'F5', 'E-5', 'D5', 'C5', 'B-4', 'F4', 'B-4', 'B-4', 'E-5', 'B-4', 'C5', 'B-4', 'G4', 'F4', 'E-4', 'B-3', 'G4', 'G4', 'F4', 'G4', 'F4', 'E-4', 'F4', 'B-4', 'E-5', 'C5', 'E-5', 'C5', 'B-4', 'C5', 'B-4', 'G4', 'F4', 'E-4', 'B-3', 'B-4', 'B-4', 'E-5', 'F5', 'E-5', 'C5', 'E-5', 'C5', 'B-4', 'C5', 'B-4', 'G4', 'F4', 'E-4', 'B-3', 'B-4', 'B-4', 'E-5', 'F5', 'E-5', 'C5', 'E-5', 'C5', 'B-4', 'C5', 'B-4', 'G4', 'F4', 'E-4', 'B-3']",69,"['B-', 'E-', 'F', 'D', 'C', 'G']",6,C,"['C4', 'C4', 'C4', 'F4', 'G4', 'F4', 'E4', 'D4', 'C4', 'G3', 'C4', 'C4', 'F4', 'C4', 'D4', 'C4', 'A3', 'G3', 'F3', 'C3', 'A3', 'A3', 'G3', 'A3', 'G3', 'F3', 'G3', 'C4', 'F4', 'D4', 'F4', 'D4', 'C4', 'D4', 'C4', 'A3', 'G3', 'F3', 'C3', 'C4', 'C4', 'F4', 'G4', 'F4', 'D4', 'F4', 'D4', 'C4', 'D4', 'C4', 'A3', 'G3', 'F3', 'C3', 'C4', 'C4', 'F4', 'G4', 'F4', 'D4', 'F4', 'D4', 'C4', 'D4', 'C4', 'A3', 'G3', 'F3', 'C3']","['C', 'F', 'G', 'E', 'D', 'A']","['C', 'F', 'A', 'G', 'D']"
shanxi,Da suanzao,"Asia, China, Shanxi Ningwu",A,"['D5', 'D5', 'C5', 'A4', 'C5', 'D5', 'D5', 'C5', 'A4', 'C5', 'D5', 'D5', 'C5', 'A4', 'C5', 'D5', 'G5', 'F5', 'D5', 'C5', 'D5', 'C5', 'G4', 'C5', 'D5', 'G5', 'F5', 'D5', 'G4', 'A4', 'F4', 'A4', 'G4', 'A4', 'F4', 'A4', 'A4', 'D5', 'C5', 'A4', 'G4', 'A4', 'A4', 'F4', 'G4', 'F4', 'D4', 'C4']",48,"['D', 'C', 'A', 'G', 'F']",5,C,"['F4', 'F4', 'E-4', 'C4', 'E-4', 'F4', 'F4', 'E-4', 'C4', 'E-4', 'F4', 'F4', 'E-4', 'C4', 'E-4', 'F4', 'B-4', 'A-4', 'F4', 'E-4', 'F4', 'E-4', 'B-3', 'E-4', 'F4', 'B-4', 'A-4', 'F4', 'B-3', 'C4', 'A-3', 'C4', 'B-3', 'C4', 'A-3', 'C4', 'C4', 'F4', 'E-4', 'C4', 'B-3', 'C4', 'C4', 'A-3', 'B-3', 'A-3', 'F3', 'E-3']","['F', 'E-', 'C', 'B-', 'A-']","['C', 'F', 'E-', 'A-', 'B-']"
shanxi,Tiao cai,"Asia, China, Shanxi Heshuen",C,"['C5', 'C5', 'D5', 'C5', 'G4', 'A4', 'C5', 'D5', 'C5', 'F5', 'A4', 'G4', 'F4', 'G4', 'F4', 'G4', 'C5', 'G4', 'A4', 'G4', 'F4', 'G4', 'A4', 'G4', 'F4', 'E4', 'F4', 'G4', 'F4', 'E4', 'F4', 'G4', 'A4', 'G4', 'A4', 'G4', 'D4', 'C4']",38,"['C', 'D', 'G', 'A', 'F', 'E']",6,C,"['C5', 'C5', 'D5', 'C5', 'G4', 'A4', 'C5', 'D5', 'C5', 'F5', 'A4', 'G4', 'F4', 'G4', 'F4', 'G4', 'C5', 'G4', 'A4', 'G4', 'F4', 'G4', 'A4', 'G4', 'F4', 'E4', 'F4', 'G4', 'F4', 'E4', 'F4', 'G4', 'A4', 'G4', 'A4', 'G4', 'D4', 'C4']","['C', 'D', 'G', 'A', 'F', 'E']","['C', 'G', 'F', 'E', 'A']"
shanxi,Tiao kucai,"Asia, China, Shanxi Dingxiang",D,"['D5', 'A4', 'A4', 'D5', 'E5', 'D5', 'D5', 'A4', 'A4', 'D5', 'A4', 'G4', 'G4', 'G4', 'A4', 'D5', 'E5', 'D5', 'A4', 'G4', 'G4', 'B4', 'A4', 'E4', 'D4', 'D5', 'E4', 'G4', 'A4', 'D5', 'D5', 'A4', 'A4', 'G4', 'A4', 'E4', 'E4', 'D4', 'G4', 'G4', 'A4', 'D5', 'E5', 'D5', 'A4', 'G4', 'G4', 'B4', 'A4', 'E4', 'D4', 'B4', 'B4', 'A4', 'G4', 'B4', 'A4', 'E4', 'E4', 'D4', 'G4', 'G4', 'A4', 'D5', 'E5', 'D5', 'A4', 'G4', 'G4', 'B4', 'A4', 'E4', 'D4']",73,"['D', 'A', 'E', 'G', 'B']",5,C,"['C5', 'G4', 'G4', 'C5', 'D5', 'C5', 'C5', 'G4', 'G4', 'C5', 'G4', 'F4', 'F4', 'F4', 'G4', 'C5', 'D5', 'C5', 'G4', 'F4', 'F4', 'A4', 'G4', 'D4', 'C4', 'C5', 'D4', 'F4', 'G4', 'C5', 'C5', 'G4', 'G4', 'F4', 'G4', 'D4', 'D4', 'C4', 'F4', 'F4', 'G4', 'C5', 'D5', 'C5', 'G4', 'F4', 'F4', 'A4', 'G4', 'D4', 'C4', 'A4', 'A4', 'G4', 'F4', 'A4', 'G4', 'D4', 'D4', 'C4', 'F4', 'F4', 'G4', 'C5', 'D5', 'C5', 'G4', 'F4', 'F4', 'A4', 'G4', 'D4', 'C4']","['C', 'G', 'D', 'F', 'A']","['C', 'G', 'F', 'D', 'A']"
shanxi,Maicai,"Asia, China, Shanxi",C,"['F5', 'C5', 'C5', 'F5', 'C5', 'C5', 'B-4', 'C5', 'D5', 'C5', 'G4', 'C5', 'G4', 'C5', 'A4', 'G4', 'F4', 'A4', 'G4', 'F4', 'D4', 'F4', 'C5', 'A4', 'C5', 'G4', 'C5', 'G4', 'F4', 'D4', 'C4', 'F4', 'G4', 'F4', 'F4', 'D4', 'C4', 'B-3', 'C4', 'A4', 'G4', 'F4', 'A4', 'G4', 'F4', 'D4', 'F4', 'C5', 'A4', 'C5', 'G4', 'C5', 'G4', 'F4', 'D4', 'C4', 'F4', 'G4', 'F4', 'F4', 'D4', 'C4', 'B-3', 'C4']",64,"['F', 'C', 'B-', 'D', 'G', 'A']",6,C,"['F5', 'C5', 'C5', 'F5', 'C5', 'C5', 'B-4', 'C5', 'D5', 'C5', 'G4', 'C5', 'G4', 'C5', 'A4', 'G4', 'F4', 'A4', 'G4', 'F4', 'D4', 'F4', 'C5', 'A4', 'C5', 'G4', 'C5', 'G4', 'F4', 'D4', 'C4', 'F4', 'G4', 'F4', 'F4', 'D4', 'C4', 'B-3', 'C4', 'A4', 'G4', 'F4', 'A4', 'G4', 'F4', 'D4', 'F4', 'C5', 'A4', 'C5', 'G4', 'C5', 'G4', 'F4', 'D4', 'C4', 'F4', 'G4', 'F4', 'F4', 'D4', 'C4', 'B-3', 'C4']","['F', 'C', 'B-', 'D', 'G', 'A']","['C', 'G', 'F', 'A', 'D']"
shanxi,Maicai,"Asia, China, Shanxi Dingxiang",C,"['D5', 'D5', 'F5', 'D5', 'C5', 'D5', 'F5', 'D5', 'A4', 'C5', 'D5', 'D5', 'C5', 'A4', 'A4', 'C5', 'D5', 'F5', 'C5', 'A4', 'G4', 'G4', 'G4', 'F4', 'G4', 'G4', 'A4', 'C5', 'C5', 'A4', 'C5', 'D5', 'F4', 'G4', 'E4', 'D4', 'C4', 'D5', 'D5', 'C5', 'A4', 'C5', 'G4', 'F4', 'D4', 'F4', 'G4', 'A4', 'D4', 'C4']",50,"['D', 'F', 'C', 'A', 'G', 'E']",6,C,"['D5', 'D5', 'F5', 'D5', 'C5', 'D5', 'F5', 'D5', 'A4', 'C5', 'D5', 'D5', 'C5', 'A4', 'A4', 'C5', 'D5', 'F5', 'C5', 'A4', 'G4', 'G4', 'G4', 'F4', 'G4', 'G4', 'A4', 'C5', 'C5', 'A4', 'C5', 'D5', 'F4', 'G4', 'E4', 'D4', 'C4', 'D5', 'D5', 'C5', 'A4', 'C5', 'G4', 'F4', 'D4', 'F4', 'G4', 'A4', 'D4', 'C4']","['D', 'F', 'C', 'A', 'G', 'E']","['C', 'G', 'D', 'F', 'A']"
shanxi,Mai luobe,"Asia, China, Shanxi Dingxiang",C,"['D5', 'F5', 'G4', 'A4', 'D5', 'F5', 'G4', 'A4', 'C5', 'G4', 'A4', 'C5', 'E4', 'E4', 'D4', 'C4', 'C5', 'C5', 'D5', 'F5', 'C5', 'E4', 'G4', 'C5', 'C5', 'A4', 'E4', 'E4', 'F4', 'G4', 'E4', 'D4', 'C4', 'F4', 'F4', 'F4', 'D4', 'C5', 'A4', 'D5', 'F5', 'C5', 'D5', 'C5', 'A4', 'G4', 'F4', 'G4', 'C5', 'G4', 'A4', 'C5', 'C5', 'F5', 'D5', 'C5', 'A4', 'D5', 'F4', 'F4', 'G4', 'A4', 'C5', 'A4', 'G4', 'A4', 'F4', 'G4', 'A4', 'E4', 'D4', 'C4']",72,"['D', 'F', 'G', 'A', 'C', 'E']",6,C,"['D5', 'F5', 'G4', 'A4', 'D5', 'F5', 'G4', 'A4', 'C5', 'G4', 'A4', 'C5', 'E4', 'E4', 'D4', 'C4', 'C5', 'C5', 'D5', 'F5', 'C5', 'E4', 'G4', 'C5', 'C5', 'A4', 'E4', 'E4', 'F4', 'G4', 'E4', 'D4', 'C4', 'F4', 'F4', 'F4', 'D4', 'C5', 'A4', 'D5', 'F5', 'C5', 'D5', 'C5', 'A4', 'G4', 'F4', 'G4', 'C5', 'G4', 'A4', 'C5', 'C5', 'F5', 'D5', 'C5', 'A4', 'D5', 'F4', 'F4', 'G4', 'A4', 'C5', 'A4', 'G4', 'A4', 'F4', 'G4', 'A4', 'E4', 'D4', 'C4']","['D', 'F', 'G', 'A', 'C', 'E']","['C', 'F', 'A', 'D', 'G']"
shanxi,Mai ronghua,"Asia, China, Shanxi Wenshui",G,"['B3', 'A3', 'G3', 'E3', 'E3', 'E3', 'G3', 'A3', 'B3', 'A3', 'E4', 'E4', 'D4', 'D4', 'E4', 'C4', 'B3', 'A3', 'G3', 'D4', 'E4', 'E4', 'D4', 'C4', 'E4', 'G4', 'D4', 'C4', 'B3', 'A3', 'G3', 'E4', 'D4', 'A3', 'B3', 'D4', 'A3', 'G3', 'G3', 'B3', 'D4', 'E4', 'G3', 'G3', 'C4', 'C4', 'E4', 'D4', 'E4', 'A3', 'A3', 'G3', 'E3', 'D3', 'E3', 'G3', 'B3', 'A3', 'B3', 'A3', 'D4', 'E4', 'G4', 'E4', 'D4', 'C4', 'E4', 'D4', 'C4', 'B3', 'A3', 'G3', 'E4', 'D4', 'A3', 'B3', 'D4', 'A3', 'G3', 'G3']",80,"['B', 'A', 'G', 'E', 'D', 'C']",6,C,"['E3', 'D3', 'C3', 'A2', 'A2', 'A2', 'C3', 'D3', 'E3', 'D3', 'A3', 'A3', 'G3', 'G3', 'A3', 'F3', 'E3', 'D3', 'C3', 'G3', 'A3', 'A3', 'G3', 'F3', 'A3', 'C4', 'G3', 'F3', 'E3', 'D3', 'C3', 'A3', 'G3', 'D3', 'E3', 'G3', 'D3', 'C3', 'C3', 'E3', 'G3', 'A3', 'C3', 'C3', 'F3', 'F3', 'A3', 'G3', 'A3', 'D3', 'D3', 'C3', 'A2', 'G2', 'A2', 'C3', 'E3', 'D3', 'E3', 'D3', 'G3', 'A3', 'C4', 'A3', 'G3', 'F3', 'A3', 'G3', 'F3', 'E3', 'D3', 'C3', 'A3', 'G3', 'D3', 'E3', 'G3', 'D3', 'C3', 'C3']","['E', 'D', 'C', 'A', 'G', 'F']","['C', 'A', 'D', 'G', 'E']"
shanxi,Mai sirong,"Asia, China, Shanxi Linxian",A,"['F#5', 'A5', 'F#5', 'E5', 'F#5', 'A4', 'A4', 'B4', 'D5', 'D5', 'E5', 'F#5', 'A5', 'A4', 'B4', 'D5', 'F#5', 'E5', 'C#5', 'B4', 'A4', 'F#5', 'A5', 'F#5', 'E5', 'F#5', 'A5', 'F#5', 'E5', 'A4', 'A4', 'A4', 'B4', 'D5', 'D5', 'E5', 'F#5', 'A5', 'A4', 'B4', 'D5', 'F#5', 'A5', 'C#5', 'B4', 'A4']",46,"['F#', 'A', 'E', 'B', 'D', 'C#']",6,C,"['A4', 'C5', 'A4', 'G4', 'A4', 'C4', 'C4', 'D4', 'F4', 'F4', 'G4', 'A4', 'C5', 'C4', 'D4', 'F4', 'A4', 'G4', 'E4', 'D4', 'C4', 'A4', 'C5', 'A4', 'G4', 'A4', 'C5', 'A4', 'G4', 'C4', 'C4', 'C4', 'D4', 'F4', 'F4', 'G4', 'A4', 'C5', 'C4', 'D4', 'F4', 'A4', 'C5', 'E4', 'D4', 'C4']","['A', 'C', 'G', 'D', 'F', 'E']","['C', 'A', 'F', 'G', 'D']"
shanxi,Kan guayuanr,"Asia, China, Shanxi Jinnan",A,"['D5', 'B4', 'D5', 'C5', 'B4', 'A4', 'A4', 'D5', 'B4', 'D5', 'B4', 'A4', 'G4', 'G4', 'B4', 'A#4', 'B4', 'G#4', 'B4', 'A4', 'A4', 'E4', 'A4', 'F#4', 'E4', 'D5', 'E4', 'D4', 'E4', 'G4', 'G4', 'B4', 'A4', 'B4', 'G4', 'D4', 'E4', 'G4', 'E4', 'D4', 'B3', 'B4', 'B4', 'A4', 'B4', 'B4', 'A4', 'G#4', 'B4', 'A4', 'G4', 'F#4', 'E4', 'G4', 'D4', 'E4', 'G4', 'D4', 'B3', 'D4', 'E4', 'D4', 'E4', 'A4', 'A4', 'E4', 'A4', 'F#4', 'E4', 'D4']",70,"['D', 'B', 'C', 'A', 'G', 'A#', 'G#', 'E', 'F#']",9,C,"['F4', 'D4', 'F4', 'E-4', 'D4', 'C4', 'C4', 'F4', 'D4', 'F4', 'D4', 'C4', 'B-3', 'B-3', 'D4', 'C#4', 'D4', 'B3', 'D4', 'C4', 'C4', 'G3', 'C4', 'A3', 'G3', 'F4', 'G3', 'F3', 'G3', 'B-3', 'B-3', 'D4', 'C4', 'D4', 'B-3', 'F3', 'G3', 'B-3', 'G3', 'F3', 'D3', 'D4', 'D4', 'C4', 'D4', 'D4', 'C4', 'B3', 'D4', 'C4', 'B-3', 'A3', 'G3', 'B-3', 'F3', 'G3', 'B-3', 'F3', 'D3', 'F3', 'G3', 'F3', 'G3', 'C4', 'C4', 'G3', 'C4', 'A3', 'G3', 'F3']","['F', 'D', 'E-', 'C', 'B-', 'C#', 'B', 'G', 'A']","['C', 'B-', 'D', 'G', 'F']"
